Rank,Name,Elevation,Latitude,Longitude,State
100,BALD HILL,3050,44.31916667,-72.90777778,VT
101,SENECA MTN (N PK),3049,44.71277778,-71.80166667,VT
102,SPRUCE PK,3033,43.04444444,-73.21027778,VT
103,SPRUCE MTN,3030,44.23444444,-72.35555556,VT
104,BRAINTREE MTN (N PK),3030,43.95305556,-72.78583333,VT
105,UNNAMED PK (STAMFORD),3025,42.78666667,-73.1225,VT
106,UNNAMED PK (TELEPHONE GAP),3022,43.75111111,-72.88833333,VT
107,NORTH JAY PK (SW PK),3015,44.94083333,-72.57666667,VT
108,GILPIN MTN,3015,44.90861111,-72.49527778,VT
109,HOOSAC RANGE,3010,42.75777778,-73.02666667,VT
110,TILLOTSON PK,3002,44.80666667,-72.55361111,VT
111,BEAR,2996,43.8703,-72.9556,VT
112,UNNAMED (READSBORO),2995,42.82437,-72.94407,VT
113,E KNOX,2990,44.1683,-72.34001,VT
114,UNNAMED (STAMFORD POND PEAK),2970,42.81672,-73.05897,VT
115,S DORSET,2970,43.28539,-73.06724,VT
116,MEACHAM SWAMP PEAK,2970,44.9023,-71.6318,VT
117,CLARK,2970,44.47889,-72.8414,VT
118,MOLLY STARK,2967,44.22194,-72.92665,VT
119,PETE PARENT,2963,43.32194,-72.90473,VT
120,N RICE,2963,42.98722,-72.83612,VT
121,GILLESPIE,2956,43.95611,-72.87612,VT
122,UNNAMED (BLUE BROOK),2954,42.99416,-72.87334,VT
123,ROCHESTER,2953,43.86694,-72.74834,VT
124,RICE HILL,2950,42.97833,-72.8275,VT
125,MIDDLE,2947,44.91722,-71.83168,VT
126,GLEBE,2943,43.18888,-72.76084,VT
127,LYE BROOK MEADOWS PEAK,2941,43.08084,-73.04601,VT
128,BUCHANAN,2940,44.87861,-72.50917,VT
129,STRATTON POND PEAK,2938,43.11416,-72.96972,VT
130,ROUND,2932,44.93305,-71.7875,VT
131,N SNOW,2929,42.9894444,-72.9097222,VT
132,W WINDFARM,2923,42.8719444,-72.9844444,VT
133,DOMEYS DOME,2923,44.8913889,-72.4997222,VT
134,SCRUB HILL,2916,42.8052778,-73.1077778,VT
135,SCRAG,2911,44.1561111,-72.7727778,VT
136,BONE,2910,44.4025,-72.8444444,VT
137,NS BRAINTREE,2895,43.9341,-72.7764,VT
138,GOODWIN,2890,44.7741667,-72.0069444,VT
139,DOWNER GLEN PEAK,2886,43.1377778,-73.0136111,VT
140,NE DEVILS DEN PEAK,2884,43.3597222,-72.8725,VT
141,DARNING NEEDLE,2883,43.7352,-72.8488,VT
142,TERRIBLE,2882,43.3135,-72.7436,VT
143,S TILLOTSON,2881,44.7957,-72.5597,VT
144,NETOP,2878,43.2769,-73.0298,VT
145,N BAKER,2864,43.32889,-72.9602,VT
146,BUCKBALL PEAK,2864,43.3428,-72.9427,VT
147,BALD,2857,42.9221,-73.1439,VT
148,S LINCOLN GAP PEAK,2850,44.08083,-72.928,VT
149,RED,2846,43.108,-73.168,VT
150,NN TERRIBLE,2844,43.3402,-72.7558,VT
151,NW KNOX,2837,44.1706,-72.3679,VT
152,SE BULL HILL,2836,43.6779,-72.6719,VT
153,TINMOUTH,2835,43.4194,-73.0761,VT
154,MT HOLLY PEAK,2825,43.3749,-72.8436,VT
155,S ROXBURY GAP PEAK,2823,44.0893,-72.7902,VT
156,BLACK,2822,44.9271,-71.7475,VT
157,N BURNT,2821,44.1311,-72.7783,VT
158,NE S POND PEAK,2810,43.7184,-72.8673,VT
159,JOBS,2810,44.7613,-71.9636,VT
160,PEABODY HILL,2808,43.3252,-72.8374,VT
161,ELBOW PEAK,2808,43.68222,-72.8577,VT
162,WOLF HILL,2805,43.7094,-72.7874,VT
163,SPRUCE PEAK,2803,43.2397,-73.1411,VT
164,BURNT,2803,43.5416,-72.7722,VT
165,LARAWAY,2795,44.7259,-72.7119,VT
166,S NORTHFIELD,2790,43.9775,-72.8027,VT
167,NW BOLTON,2790,44.4561,-72.8585,VT
168,S BLUFF,2789,44.858,-71.8625,VT
169,EAST,2787,43.6526,-72.7518,VT
170,SW COLD HOLLOW,2785,44.7764,-72.7105,VT
171,THE DOME,2784,42.7788,-73.1704,VT
172,WILDER,2782,43.3955,-72.91,VT
173,WHEELOCK,2782,44.5576,-72.16,VT
174,DORSET HILL,2782,43.2606,-73.0328,VT
175,DEER LEAP,2782,43.67,-72.8363,VT
176,NORTH POND PEAK,2781,43.7435,-72.8822,VT
177,WILLARD,2779,43.3878,-72.8922,VT
178,S BRAINTREE,2778,43.9232,-72.7671,VT
179,N BLUFF,2774,44.8663,-71.8526,VT
180,PROSPECT,2767,42.875,-73.06667,VT
181,PISGAH,2766,44.7296,-72.0303,VT
182,NW PEABODY,2766,43.34,-72.855,VT
183,BULL,2758,44.7299,-71.839,VT
184,THE BALL,2755,43.0623,-73.1965,VT
185,NICKWAKET,2753,43.7788,-72.994,VT
186,WOZNIAK,2750,44.7696,-71.9722,VT
187,KIRBY,2750,44.5471,-71.9044,VT
188,CUSHMAN,2750,43.8974,-72.7648,VT
189,SS BRAINTREE,2748,43.91357,-72.76584,VT
190,STONE,2736,44.561,-71.6659,VT
191,SE PHILADELPHIA,2735,43.88833,-72.8431,VT
192,SABLE,2734,44.9226,-71.6862,VT
193,WEST,2733,44.7093,-71.7043,VT
194,BROUSSEAU,2732,44.9678,-71.7393,VT
195,N ELBOW,2730,43.7077,-72.8658,VT
196,LITTLE WILCOX,2730,43.8199,-72.829,VT
197,HERRICK,2726,43.5625,-73.099,VT
198,HAYSTACK,2724,44.7461,-72.002,VT
199,E ROUND,2714,44.9373,-71.7728,VT
200,DAVES,2707,43.7321,-72.871,VT
201,UNNAMED (N SHAGBACK),2704,43.6184,-72.7826,VT
